date_time,total_km
2014-11-15 22:26:11,3545
2014-11-16 00:09:49,3545
2014-11-19 21:35:22,3560
2014-11-20 19:01:06,3609
2014-11-21 15:28:32,3618
2014-11-21 18:27:44,3638
