date_time,count
2014-11-15 22:23:22,10
2014-11-16 00:09:29,224
2014-11-16 22:42:34,553
2014-11-18 06:02:57,719
2014-11-19 21:34:40,1097
2014-11-20 19:00:17,1097
2014-11-21 15:27:45,1110
2014-11-21 18:26:53,1116
